Age,"Female, Low","Female, High","Male, High","Male, Low",Low,High,Male,Female
65,0.9574257,0.8639747,0.8095868,0.9085071,0.9329664,0.83678075,0.85904695,0.9107002
66,0.9576016,0.8649873,0.8108928,0.908852,0.9332268,0.83794005,0.8598724,0.91129445
67,0.9577769,0.865994,0.8121925,0.9091959,0.9334864,0.83909325,0.8606942,0.91188545
68,0.9579515,0.8669947,0.8134857,0.9095387,0.9337451,0.8402402,0.8615122,0.9124731
69,0.9581254,0.8679893,0.8147726,0.9098804,0.9340029,0.84138095,0.8623265,0.91305735
70,0.9582986,0.868978,0.8160531,0.910221,0.9342598,0.84251555,0.86313705,0.9136383
71,0.9584712,0.8699608,0.8173272,0.9105606,0.9345159,0.843644,0.8639439,0.914216
72,0.9586431,0.8709376,0.8185949,0.9108991,0.9347711,0.84476625,0.864747,0.91479035
73,0.9588144,0.8719085,0.8198563,0.9112366,0.9350255,0.8458824,0.86554645,0.91536145
74,0.958985,0.8728735,0.8211112,0.911573,0.935279,0.84699235,0.8663421,0.91592925
75,0.9591549,0.8738326,0.8223598,0.9119083,0.9355316,0.8480962,0.86713405,0.91649375
76,0.9593242,0.8747859,0.823602,0.9122426,0.9357834,0.84919395,0.8679223,0.91705505
77,0.9594929,0.8757333,0.8248379,0.9125758,0.93603435,0.8502856,0.86870685,0.9176131
78,0.9596609,0.8766748,0.8260674,0.912908,0.93628445,0.8513711,0.8694877,0.91816785
79,0.9598283,0.8776105,0.8272905,0.9132391,0.9365337,0.8524505,0.8702648,0.9187194
80,0.959995,0.8785405,0.8285073,0.9135692,0.9367821,0.8535239,0.87103825,0.91926775
81,0.960161,0.8794646,0.8297177,0.9138982,0.9370296,0.85459115,0.87180795,0.9198128
82,0.9603265,0.880383,0.8309218,0.9142262,0.93727635,0.8556524,0.872574,0.92035475
83,0.9604913,0.8812957,0.8321195,0.9145531,0.9375222,0.8567076,0.8733363,0.9208935
84,0.9606554,0.8822026,0.8333109,0.914879,0.9377672,0.85775675,0.87409495,0.921429
85,0.9608189,0.8831038,0.834496,0.9152039,0.9380114,0.8587999,0.87484995,0.92196135
86,0.9609818,0.8839993,0.8356747,0.9155277,0.93825475,0.859837,0.8756012,0.92249055
87,0.9611441,0.8848892,0.8368471,0.9158505,0.9384973,0.86086815,0.8763488,0.92301665
88,0.9613057,0.8857734,0.8380133,0.9161723,0.938739,0.86189335,0.8770928,0.92353955
89,0.9614668,0.8866519,0.8391731,0.916493,0.9389799,0.8629125,0.87783305,0.92405935
90,0.9616271,0.8875249,0.8403266,0.9168127,0.9392199,0.86392575,0.87856965,0.924576
91,0.9617869,0.8883923,0.8414739,0.9171313,0.9394591,0.8649331,0.8793026,0.9250896
92,0.9619461,0.889254,0.8426148,0.9174489,0.9396975,0.8659344,0.88003185,0.92560005
93,0.9621046,0.8901103,0.8437496,0.9177655,0.93993505,0.86692995,0.88075755,0.92610745
94,0.9622625,0.890961,0.844878,0.9180811,0.9401718,0.8679195,0.88147955,0.92661175
95,0.9624198,0.8918062,0.8460002,0.9183957,0.94040775,0.8689032,0.88219795,0.927113
96,0.9625765,0.8926458,0.8471162,0.9187092,0.94064285,0.869881,0.8829127,0.92761115
97,0.9627326,0.8934801,0.8482259,0.9190218,0.9408772,0.870853,0.88362385,0.92810635
98,0.962888,0.8943088,0.8493295,0.9193333,0.94111065,0.87181915,0.8843314,0.9285984
